Date,Open,High,Low,Close
2022-09-30,1660.648,1675.38,1659.33,1660.73
2022-10-03,1660.73,1701.56,1659.8,1699.288
2022-10-04,1699.15,1729.46,1695.29,1725.16
2022-10-05,1725.16,1727.78,1700.671,1715.84
2022-10-06,1716.03,1725.55,1706.99,1711.75
2022-10-07,1712.468,1714.82,1690.7,1693.7
2022-10-10,1694.69,1699.94,1665.78,1668
2022-10-11,1667.74,1683.94,1661,1665.97
2022-10-12,1666.022,1678.33,1661.45,1673
2022-10-13,1672.973,1682.45,1642.49,1666
2022-10-14,1666.05,1671.74,1640.27,1643.78
2022-10-17,1643.4,1668.42,1643.4,1650.18
2022-10-18,1650.06,1660.94,1645.93,1651.33
2022-10-19,1651.31,1654.44,1627.75,1629.21
2022-10-20,1629.65,1645.65,1622.53,1627.027
2022-10-21,1626.997,1658.07,1617.3,1656.6
2022-10-24,1657.66,1670.75,1644.05,1649.86
2022-10-25,1649.89,1662.45,1638.4,1652.92
2022-10-26,1653.08,1674.94,1649.84,1663.89
2022-10-27,1663.84,1670.82,1654.93,1662.1
2022-10-28,1662.1,1667.04,1638.16,1644.3
2022-10-31,1644.99,1645.62,1631.84,1632.77
2022-11-01,1632.728,1657,1630.85,1648.18
2022-11-02,1648.11,1669.52,1634.9,1635.298
2022-11-03,1636.067,1640.97,1616.71,1629.4
2022-11-04,1628.688,1682.37,1628.688,1680.2
2022-11-07,1681.11,1681.836,1666.96,1675.48
2022-11-08,1675.48,1716.89,1664.8,1712.17
2022-11-09,1712.17,1722.55,1702.29,1706.67
2022-11-10,1706.67,1757.26,1704,1755.49
2022-11-11,1755.53,1772.78,1747.38,1771.198
2022-11-14,1771.23,1775.07,1753.35,1771.28
2022-11-15,1771.18,1786.53,1767.19,1778.89
2022-11-16,1778.89,1785.04,1770.4,1773.6
2022-11-17,1773.3,1774.81,1754.57,1760.03
2022-11-18,1760.03,1767.68,1747.6,1750.398
2022-11-21,1750.56,1753.02,1732.58,1737.83
2022-11-22,1736.92,1749.72,1736.92,1739.7
2022-11-23,1739.99,1753.36,1725.71,1749.37
2022-11-25,1756.61,1761.18,1745.99,1754.26
2022-11-28,1754.26,1763.75,1739.72,1741.24
2022-11-29,1740.9,1759.05,1739.7,1749.7
2022-11-30,1749.4,1769.96,1745.03,1768
2022-12-01,1767.7,1804.02,1767.7,1802.5
2022-12-02,1802.23,1804.45,1778.68,1797.248
2022-12-05,1797.59,1810.04,1765.9,1768.4
2022-12-06,1768.4,1780.9,1766.9,1770.6
2022-12-07,1770.86,1790.52,1768.8,1785.83
2022-12-08,1786,1794.87,1781.5,1788.92
2022-12-09,1788.73,1806.12,1788.57,1797.11
2022-12-12,1797.41,1797.59,1777.66,1780.27
2022-12-13,1780.9,1824.47,1780.89,1810.84
2022-12-14,1809.5,1814.14,1795.66,1807.23
2022-12-15,1806.46,1808.64,1773.92,1776.54
2022-12-16,1775.97,1794.31,1774.4,1792.588
2022-12-19,1791.83,1798.68,1783.94,1787.3
2022-12-20,1786.53,1821.11,1784.71,1817.6
2022-12-21,1816.93,1823.82,1811.93,1814.1
2022-12-22,1814.1,1820.45,1784.94,1792.36
2022-12-23,1791.54,1803.21,1791.31,1797.688
2022-12-27,1797.21,1833.29,1797.21,1813.3
2022-12-28,1812.5,1814.52,1797.14,1804
2022-12-29,1803.3,1820.18,1803.3,1814.5
2022-12-30,1813.87,1826.07,1811.2,1822.79
2023-01-03,1823.53,1850.15,1823.53,1839
2023-01-04,1839.6,1865.15,1836.29,1854.1
2023-01-05,1854.34,1859.03,1825.04,1832.488
2023-01-06,1832.45,1870,1830.8,1865.487
2023-01-09,1865.91,1881.59,1865.4,1871.65
2023-01-10,1870.4,1880.73,1868,1876.6
2023-01-11,1876.72,1886.63,1867.22,1875.3
2023-01-12,1875.3,1901.55,1872.64,1896.7
2023-01-13,1896.79,1921.86,1892.4,1920.15
2023-01-17,1915.66,1919.02,1903.88,1908.2
2023-01-18,1908.53,1925.88,1896.74,1903.7
2023-01-19,1904.14,1935.25,1901.1,1931.8
2023-01-20,1931.9,1937.51,1920.77,1925.95
2023-01-23,1925.82,1935.51,1911.49,1930.6
2023-01-24,1930.43,1942.51,1917.22,1937
2023-01-25,1936.3,1948.08,1919.91,1945.78
2023-01-26,1945.78,1949.16,1918.74,1928.8
2023-01-27,1928.59,1935.06,1916.78,1927.286
2023-01-30,1927.98,1934.47,1920.71,1923.1
2023-01-31,1923.1,1931.12,1900.86,1928.26
2023-02-01,1928.26,1954.5,1920.65,1950.17
2023-02-02,1949.3,1959.74,1911.35,1912.3
2023-02-03,1912.57,1918.59,1861.37,1864.9
2023-02-06,1864.9,1881.31,1860.44,1867.04
2023-02-07,1866.9,1884.42,1865.08,1872.1
2023-02-08,1872.7,1886.345,1869.16,1875.04
2023-02-09,1875.04,1890.21,1858.97,1860.66
2023-02-10,1861.4,1872.22,1852.89,1865.14
2023-02-13,1865.4,1866.54,1850.55,1853.36
2023-02-14,1852.6,1870.53,1843.35,1854.37
2023-02-15,1853.8,1860.14,1830.64,1835.6
2023-02-16,1835.3,1845.29,1827.65,1836.24
2023-02-17,1835.95,1843.62,1818.97,1841.73
2023-02-21,1841.14,1843.82,1830.33,1834.82
2023-02-22,1834.64,1846.09,1823.6,1824.29
2023-02-23,1824.29,1833.78,1817.56,1821.9
2023-02-24,1821.9,1827.78,1809.06,1809.87
2023-02-27,1809.87,1820.17,1806.78,1816.7
2023-02-28,1817.05,1831.13,1804.78,1826.69
2023-03-01,1826.69,1844.57,1823.21,1836.3
2023-03-02,1836.3,1838.99,1830.11,1835.4
2023-03-03,1835.51,1856.51,1835.51,1855.84
2023-03-06,1855.84,1858.33,1845.21,1846.46
2023-03-07,1846.46,1851.62,1812.82,1813.36
2023-03-08,1813.36,1824.25,1809.48,1813.64
2023-03-09,1813.64,1835.64,1812.09,1829.28
2023-03-10,1829.28,1870.14,1827.84,1866.99
2023-03-13,1867.17,1914.6,1867.17,1912.68
2023-03-14,1913.71,1914.16,1895.55,1903.4
